x,y,id
-92.61,26.06,NA
-92.31,26.06,NA
-92.01,26.06,NA
-91.71,26.06,NA
-91.41,26.06,NA
-91.11,26.06,NA
-90.81,26.06,NA
-90.51,26.06,NA
-90.21,26.06,NA
-89.91,26.06,NA
-89.61,26.06,NA
-89.31,26.06,NA
-89.01,26.06,NA
-88.71,26.06,NA
-88.41,26.06,NA
-88.11,26.06,NA
-87.81,26.06,NA
-87.51,26.06,NA
-87.21,26.06,NA
-86.91,26.06,NA
-86.61,26.06,NA
-86.31,26.06,NA
-86.01,26.06,NA
-85.71,26.06,NA
-85.41,26.06,NA
-85.11,26.06,NA
-84.81,26.06,NA
-84.51,26.06,NA
-84.21,26.06,NA
-83.91,26.06,NA
-83.61,26.06,NA
-83.31,26.06,NA
-83.01,26.06,NA
-82.71,26.06,NA
-82.41,26.06,NA
-82.11,26.06,25385
-81.81,26.06,25385
-81.51,26.06,25386
-81.21,26.06,25387
-80.91,26.06,25737
-80.61,26.06,25738
-80.31,26.06,26087
-80.01,26.06,NA
-79.71,26.06,NA
-79.41,26.06,NA
-79.11,26.06,NA
-78.81,26.06,NA
-78.51,26.06,NA
-78.21,26.06,NA
-77.91,26.06,NA
-77.61,26.06,27144
-77.31,26.06,27144
-77.01,26.06,27493
-76.71,26.06,NA
-76.41,26.06,NA
-76.11,26.06,NA
-75.81,26.06,NA
-75.51,26.06,NA
-75.21,26.06,NA
-74.91,26.06,NA
-74.61,26.06,NA
-74.31,26.06,NA
-74.01,26.06,NA
-73.71,26.06,NA
-73.41,26.06,NA
-73.11,26.06,NA
-72.81,26.06,NA
-72.51,26.06,NA
-72.21,26.06,NA
-71.91,26.06,NA
-71.61,26.06,NA
-71.31,26.06,NA
-71.01,26.06,NA
-70.71,26.06,NA
-70.41,26.06,NA
-70.11,26.06,NA
-69.81,26.06,NA
-69.51,26.06,NA
-69.21,26.06,NA
-68.91,26.06,NA
-68.61,26.06,NA
-68.31,26.06,NA
-68.01,26.06,NA
-67.71,26.06,NA
-67.41,26.06,NA
-67.11,26.06,NA
-124.71,26.36,NA
-124.41,26.36,NA
-124.11,26.36,NA
-123.81,26.36,NA
-123.51,26.36,NA
